log10temp;ratioGOES1;ratioGOES2;ratioGOES3;ratioGOES4;ratioGOES5;ratioGOES6;ratioGOES7;ratioGOES8;ratioGOES9;ratioGOES10;ratioGOES11;ratioGOES12;ratioGOES13;ratioGOES14;ratioGOES15
0.38;2.11e-03;2.08e-03;2.08e-03;1.72e-03;1.82e-03;1.76e-03;1.76e-03;1.18e-03;1.25e-03;1.49e-03;1.30e-03;1.36e-03;1.29e-03;1.29e-03;1.36e-03
0.40000000000000002;2.62e-03;2.59e-03;2.59e-03;2.15e-03;2.27e-03;2.20e-03;2.19e-03;1.49e-03;1.57e-03;1.86e-03;1.64e-03;1.70e-03;1.62e-03;1.62e-03;1.70e-03
0.41999999999999998;3.25e-03;3.21e-03;3.21e-03;2.66e-03;2.81e-03;2.74e-03;2.70e-03;1.87e-03;1.97e-03;2.31e-03;2.05e-03;2.12e-03;2.02e-03;2.02e-03;2.12e-03
0.44;4.00e-03;3.95e-03;3.95e-03;3.27e-03;3.45e-03;3.38e-03;3.32e-03;2.33e-03;2.45e-03;2.85e-03;2.54e-03;2.62e-03;2.51e-03;2.51e-03;2.63e-03
0.46000000000000002;4.87e-03;4.82e-03;4.82e-03;3.99e-03;4.21e-03;4.13e-03;4.03e-03;2.88e-03;3.01e-03;3.48e-03;3.11e-03;3.22e-03;3.08e-03;3.08e-03;3.22e-03
0.47999999999999998;5.88e-03;5.81e-03;5.81e-03;4.81e-03;5.08e-03;4.99e-03;4.85e-03;3.51e-03;3.67e-03;4.21e-03;3.78e-03;3.90e-03;3.74e-03;3.74e-03;3.91e-03
0.5;7.02e-03;6.94e-03;6.94e-03;5.74e-03;6.06e-03;5.97e-03;5.78e-03;4.23e-03;4.41e-03;5.04e-03;4.54e-03;4.68e-03;4.49e-03;4.49e-03;4.69e-03
0.52000000000000002;8.29e-03;8.19e-03;8.19e-03;6.78e-03;7.16e-03;7.06e-03;6.80e-03;5.04e-03;5.25e-03;5.96e-03;5.39e-03;5.55e-03;5.34e-03;5.34e-03;5.56e-03
0.54000000000000004;9.69e-03;9.58e-03;9.58e-03;7.93e-03;8.37e-03;8.27e-03;7.93e-03;5.94e-03;6.18e-03;6.98e-03;6.34e-03;6.52e-03;6.28e-03;6.28e-03;6.54e-03
0.56000000000000005;1.12e-02;1.11e-02;1.11e-02;9.20e-03;9.71e-03;9.60e-03;9.16e-03;6.95e-03;7.22e-03;8.11e-03;7.40e-03;7.60e-03;7.32e-03;7.32e-03;7.62e-03
0.57999999999999996;1.29e-02;1.28e-02;1.28e-02;1.06e-02;1.12e-02;1.11e-02;1.05e-02;8.06e-03;8.37e-03;9.36e-03;8.56e-03;8.78e-03;8.48e-03;8.48e-03;8.81e-03
0.59999999999999998;1.48e-02;1.46e-02;1.46e-02;1.21e-02;1.28e-02;1.27e-02;1.20e-02;9.30e-03;9.63e-03;1.07e-02;9.84e-03;1.01e-02;9.75e-03;9.75e-03;1.01e-02
0.62;1.68e-02;1.67e-02;1.67e-02;1.38e-02;1.45e-02;1.44e-02;1.36e-02;1.07e-02;1.10e-02;1.22e-02;1.13e-02;1.15e-02;1.12e-02;1.12e-02;1.16e-02
0.64000000000000001;1.91e-02;1.88e-02;1.88e-02;1.56e-02;1.65e-02;1.63e-02;1.53e-02;1.22e-02;1.26e-02;1.39e-02;1.28e-02;1.31e-02;1.27e-02;1.27e-02;1.31e-02
0.66000000000000003;2.15e-02;2.12e-02;2.12e-02;1.76e-02;1.86e-02;1.84e-02;1.72e-02;1.38e-02;1.42e-02;1.56e-02;1.45e-02;1.48e-02;1.44e-02;1.44e-02;1.49e-02
0.68000000000000005;2.41e-02;2.38e-02;2.38e-02;1.97e-02;2.08e-02;2.07e-02;1.93e-02;1.56e-02;1.60e-02;1.76e-02;1.63e-02;1.67e-02;1.62e-02;1.62e-02;1.67e-02
0.70000000000000007;2.69e-02;2.66e-02;2.66e-02;2.20e-02;2.32e-02;2.31e-02;2.15e-02;1.75e-02;1.80e-02;1.96e-02;1.83e-02;1.87e-02;1.82e-02;1.82e-02;1.88e-02
